ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_AREA_UBICACION,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL
0,20,2,0,1,1,1,45,120,0,68,49,48,60,55.0,281
1,14,2,1,1,1,1,15,15,0,58,67,63,63,66.0,315
0,31,1,0,1,1,1,90,15,0,48,45,44,52,45.0,235
0,15,3,1,1,1,1,90,180,0,48,55,51,41,47.0,243
1,19,1,0,0,0,1,15,15,0,41,55,57,37,48.0,238
0,2,4,1,1,1,2,120,120,0,63,60,63,64,70.0,315
1,4,2,1,1,1,1,15,180,0,48,46,39,42,40.0,217
0,12,0,0,0,0,2,15,0,1,23,34,30,36,34.0,155
1,9,1,0,1,0,1,0,0,1,48,54,61,57,62.0,278
1,2,2,1,1,1,1,0,120,0,53,47,49,35,53.0,233
0,14,3,1,1,1,1,15,120,0,45,43,48,50,52.0,235
1,31,2,1,1,0,1,45,180,0,53,61,61,57,58.0,290
0,12,1,1,1,0,1,15,45,0,54,54,52,53,55.0,267
1,13,2,1,1,1,1,45,120,0,50,52,50,36,43.0,233
0,2,1,1,0,1,0,90,180,0,59,62,50,59,59.0,288
0,4,2,1,1,1,2,90,45,0,35,36,29,32,35.0,166
0,15,4,1,1,1,1,0,180,0,70,73,63,74,84.0,355
1,23,3,1,1,0,1,15,45,0,57,49,43,52,57.0,254
0,15,2,1,1,1,1,45,180,0,50,52,44,35,56.0,230
1,31,3,1,1,1,1,45,45,0,51,42,40,47,49.0,227
0,15,2,1,1,1,1,45,180,0,59,61,63,54,63.0,298
0,2,1,0,0,0,1,15,45,0,40,23,35,37,39.0,171
0,6,2,1,1,1,1,45,120,0,74,84,64,76,62.0,368
1,15,3,1,0,1,0,45,45,0,51,28,38,34,46.0,192
0,30,1,0,0,0,1,15,180,0,40,33,42,39,31.0,190
0,14,3,1,1,1,2,45,180,0,57,59,51,50,33.0,263
1,31,2,1,1,0,2,15,120,0,53,54,38,38,44.0,228
1,22,1,0,0,0,1,15,45,1,56,54,52,59,33.0,268
1,2,3,0,1,0,0,15,120,0,58,51,47,65,45.0,272
0,31,2,1,1,1,1,45,180,0,59,45,60,52,71.0,277
0,2,3,0,1,1,2,0,180,0,46,39,40,40,44.0,207
1,15,2,1,0,1,2,15,180,0,61,61,58,50,63.0,290
1,15,2,0,1,0,2,15,45,0,61,49,49,47,49.0,257
0,15,2,0,1,0,1,90,45,0,73,49,49,54,54.0,280
1,4,1,0,0,0,0,45,0,0,59,58,59,51,40.0,277
0,22,1,0,0,0,1,15,15,1,43,48,44,38,44.0,217
1,28,3,1,1,0,2,45,120,0,63,65,63,63,57.0,315
0,28,2,1,0,1,0,15,120,0,60,66,56,70,51.0,310
1,10,2,1,1,1,2,0,180,0,63,44,41,48,50.0,245
0,2,3,1,1,1,1,15,45,0,58,59,60,51,54.0,284
0,2,2,0,0,1,2,45,45,0,44,34,33,30,34.0,176
1,18,1,0,1,0,1,15,180,0,49,62,62,54,56.0,283
1,15,2,1,1,1,1,0,180,0,54,49,55,53,55.0,265
0,7,1,0,1,0,1,0,15,0,52,50,54,50,52.0,258
1,15,3,1,1,1,1,15,15,0,64,61,60,66,71.0,317
0,15,2,1,1,0,1,15,120,0,50,34,38,52,36.0,215
0,9,2,0,0,0,1,90,15,0,55,60,55,59,46.0,282
1,14,1,1,0,0,1,45,180,0,55,50,56,60,59.0,278
0,15,2,1,0,1,0,45,15,0,49,44,45,47,49.0,232
0,2,1,0,0,0,1,15,120,0,43,32,45,38,40.0,198
1,21,3,1,1,1,1,0,45,0,50,28,40,43,40.0,201
1,6,4,1,1,1,1,15,45,0,62,61,61,54,70.0,302
0,5,1,0,0,0,1,45,120,0,65,53,50,62,53.0,286
1,2,1,0,1,0,1,15,15,1,45,27,32,34,33.0,172
0,2,3,1,1,1,2,15,180,0,39,30,43,40,39.0,190
0,15,1,1,1,1,0,90,180,0,43,53,54,41,44.0,237
1,14,2,0,1,1,1,0,120,1,60,60,59,63,56.0,301
0,11,1,0,0,0,1,15,15,0,67,65,70,77,62.0,346
0,22,0,0,1,0,1,90,15,1,50,58,34,39,39.0,224
1,5,2,0,0,0,0,0,45,0,45,45,39,45,53.0,221
1,10,1,0,1,0,2,15,0,1,44,35,34,41,44.0,195
1,7,1,0,1,0,1,45,45,0,60,58,60,56,62.0,294
1,19,4,1,1,1,1,15,45,0,60,46,51,50,38.0,253
1,15,2,1,1,1,1,0,15,0,62,60,54,47,64.0,282
1,14,3,1,1,1,0,45,120,0,46,48,55,40,46.0,236
1,12,4,0,0,0,1,45,0,1,30,29,37,32,41.0,163
1,15,2,1,1,1,1,45,120,0,65,50,52,56,56.0,279
0,26,2,0,1,1,2,15,15,1,47,46,47,30,45.0,213
0,6,2,1,1,1,1,15,45,0,48,53,55,44,50.0,250
1,15,2,1,1,1,1,0,15,0,48,58,49,50,39.0,252
1,18,1,1,1,1,0,15,15,0,45,54,52,45,51.0,246
0,5,2,1,1,1,0,15,120,0,65,71,67,71,80.0,347
1,31,2,0,0,0,1,45,120,1,54,60,65,51,57.0,287
1,14,2,0,1,1,2,15,15,0,57,53,52,47,57.0,263
0,10,1,0,0,0,1,0,15,0,45,36,32,35,31.0,183
0,22,1,1,1,1,2,45,120,1,38,40,27,34,34.0,173
1,28,3,1,1,1,2,0,120,0,53,52,44,51,39.0,246
0,15,3,1,1,1,1,15,120,0,57,58,53,47,51.0,268
0,15,4,1,1,1,1,15,120,0,65,65,54,66,76.0,318
0,13,2,0,1,0,1,0,45,1,52,29,33,36,58.0,195
1,4,2,1,1,1,2,15,45,0,30,29,38,34,43.0,168
0,28,3,1,1,1,1,0,45,0,42,41,44,40,47.0,211
0,15,2,1,1,1,0,15,180,0,53,58,60,49,55.0,275
0,15,2,1,1,1,1,45,120,0,48,54,39,33,52.0,221
1,4,2,1,1,1,0,0,120,0,49,47,34,32,32.0,199
0,2,2,1,1,1,2,90,120,0,64,51,59,60,53.0,290
0,8,1,0,0,0,0,45,45,0,59,56,56,46,52.0,270
1,13,1,1,1,1,2,15,120,0,35,37,33,30,36.0,170
1,2,2,1,1,0,2,15,15,0,38,37,40,32,30.0,181
0,9,2,1,1,1,2,120,120,1,65,62,57,55,61.0,299
1,10,2,0,1,0,2,15,120,1,54,49,49,46,51.0,248
0,23,3,1,1,1,2,0,120,0,67,64,68,65,76.0,334
1,2,1,0,1,0,1,15,180,0,50,43,48,44,45.0,231
0,10,1,0,0,1,1,45,45,0,58,72,67,59,52.0,315
0,15,1,0,1,1,2,15,15,0,55,61,53,59,40.0,278
0,12,1,0,1,1,1,90,45,0,37,34,42,37,39.0,188
1,14,2,1,1,0,2,45,120,0,60,76,63,67,46.0,325
0,16,1,0,0,0,1,0,0,1,34,42,44,32,40.0,191
0,5,2,1,1,1,2,45,120,0,45,48,51,40,39.0,227
0,9,1,0,1,0,0,45,0,0,48,52,55,60,50.0,267
1,8,3,1,1,0,1,45,15,0,47,48,52,44,47.0,238
1,22,3,1,1,1,2,0,45,0,56,54,57,61,53.0,283
1,15,2,1,1,1,1,0,180,0,59,68,66,62,66.0,320
0,15,3,0,1,1,1,15,15,0,52,68,70,67,63.0,321
0,13,2,0,1,0,1,15,45,1,49,48,45,41,44.0,228
1,26,2,1,1,0,1,0,15,0,34,41,43,37,49.0,198
0,14,2,1,1,1,1,45,120,0,66,60,55,64,59.0,305
1,25,1,1,1,1,2,90,120,0,43,36,47,38,35.0,203
0,5,2,0,0,0,1,15,45,0,49,37,37,33,33.0,193
1,4,3,0,1,1,1,15,120,0,61,55,58,55,54.0,285
1,2,3,1,1,1,1,0,180,0,44,48,40,50,54.0,231
0,23,3,1,1,1,2,45,180,0,59,50,48,54,50.0,263
1,2,2,1,1,0,2,15,180,0,55,58,58,58,65.0,289
0,9,1,0,0,1,1,15,15,0,67,51,58,68,55.0,303
1,14,3,1,1,1,1,0,15,0,59,61,58,56,60.0,293
1,20,1,0,1,0,2,45,45,0,52,41,42,49,46.0,230
0,20,1,0,0,0,0,90,15,1,45,40,37,35,48.0,200
1,18,2,0,1,1,2,0,45,0,47,36,41,45,39.0,210
0,2,3,1,1,1,0,45,120,0,61,54,59,62,55.0,293
1,4,1,1,1,1,1,45,120,0,54,56,49,54,46.0,263
0,6,2,0,0,0,1,0,0,0,51,37,43,49,34.0,221
